1.0.0-RC18,zio-prelude-docs,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC17,zio-prelude-docs,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC16,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC15,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC14,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC13,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC12,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC10,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC9,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC8,zio-prelude-experimental-laws,zio-laws-laws,zio-prelude,zio-prelude-experimental-tests,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC7,zio-laws-laws,zio-prelude,zio-prelude-macros,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC6,zio-prelude,zio-prelude-experimental,zio-prelude-scala-parallel-collections
1.0.0-RC5,zio-prelude,zio-prelude-experimental,zio-prelude-scala-parallel-collections
